,,,,,,,,Flat Test Results,,,,,,,,,,,,Climb Test Results,,,,,,,,,,,
Cannondale R4000 Roller Blade,Cannondale R4000 Roller Blade,Halo,"10,000,000",,183,75,300,25.4128,120.8,25.4972,133.2,25.5055,134.4,25.5890,146.6,25.6166,150.6,25.6176,150.8,9.2216,7.7,9.2258,9.3,9.2666,25.3,9.2958,36.7,9.2954,36.5,9.3124,43.2
Zwift Concept Z1,Zwift Concept Z1,Halo,0,45,183,75,300,25.3705,114.6,25.4540,126.8,25.4621,128.0,25.5443,140.1,25.5729,144.2,25.5711,144.0,9.2816,31.1,9.2881,33.7,9.3267,48.8,9.3573,60.8,9.3569,60.6,9.3758,68.0
Cannondale CAAD13,Zwift 32mm Carbon,Road,"500,000",14,183,75,150,19.2913,58.0,,,,,,,,,19.4823,94.2,4.8203,26.2,,,,,,,,,4.8711,64.4
Zwift Recumbent Trike,Zwift Recumbent Trike,Recumbent,0,0,183,75,300,25.2344,96.7,25.3179,109.0,25.3236,109.8,25.4239,124.5,25.4497,128.3,25.4475,128.0,8.3062,-350.1,8.3101,-348.6,8.3586,-329.6,8.3853,-319.2,8.3860,-318.9,8.3854,-319.1
Cannondale EVO,Zwift 32mm Carbon,Road,"714,500",29,183,75,150,19.0412,10.5,,,,,,,,,19.2259,45.6,4.8466,46.0,,,,,,,,,4.8981,84.7
Pinarello Espada,Pinarello Pinarello Espada,Halo,"10,000,000",,183,75,300,26.1680,90.9,26.2341,100.2,26.2405,101.1,26.3330,114.1,26.3325,114.1,26.5256,141.3,9.0199,-9.6,9.0261,-7.2,9.0441,0.0,9.0724,11.3,9.0811,14.7,9.0868,17.0
Cannondale R4000 Roller Blade,Cannondale R4000 Roller Blade,Halo,"10,000,000",,183,75,150,19.6060,117.6,,,,,,,,,19.8073,155.8,4.7794,-4.6,,,,,,,,,4.8300,33.5
BMC Roadmachine,Zwift 32mm Carbon,Road,"344,100",18,183,75,300,24.6409,7.8,24.7178,19.0,24.7295,20.8,24.8060,32.0,24.8289,35.3,24.8276,35.1,9.2530,20.0,9.2581,21.9,9.3152,44.3,9.3429,55.1,9.3455,56.1,9.3440,55.6
Cannondale Super Six Evo,Zwift 32mm Carbon,Road,"768,200",29,183,75,150,19.2257,45.5,,,,,,,,,19.4167,81.7,4.8397,40.8,,,,,,,,,4.8908,79.2
BMC SLR01,Zwift 32mm Carbon,Road,"759,500",39,183,75,300,24.6459,8.5,24.7212,19.5,24.7299,20.8,24.8067,32.1,24.8294,35.4,24.8324,35.8,9.2750,28.6,9.2786,30.0,9.3185,45.6,9.3454,56.1,9.3465,56.5,9.3669,64.5
Cannondale SuperSix Evo LAB71,Zwift 32mm Carbon,Road,"1,750,000",40,183,75,150,19.3108,61.7,,,,,,,,,19.5024,98.0,4.8536,51.2,,,,,,,,,4.9055,90.3
Cannondale SuperSix EVO LAB71 Team,Zwift 32mm Carbon,Road,,,183,75,150,19.2882,61.5,,-3600.0,,-3600.0,,-3600.0,,-3600.0,,-3600.0,4.8569,53.7,,-3600.0,,-3600.0,,-3600.0,,-3600.0,,-3600.0
Cannondale Synapse,Zwift 32mm Carbon,Road,"270,100",12,183,75,150,19.0323,8.9,,,,,,,,,19.2180,44.1,4.8193,25.4,,,,,,,,,4.8701,63.6
BMC TeamMachine,Zwift 32mm Carbon,Road,"969,200",39,183,75,300,24.8718,41.6,24.9502,53.1,24.9582,54.2,25.0364,65.7,25.0622,69.5,25.0641,69.8,9.2996,38.2,9.3033,39.6,9.3446,55.8,9.3730,66.9,9.3736,67.1,9.3922,74.4
Cannondale System Six,Zwift 32mm Carbon,Road,"725,100",20,183,75,150,19.3006,59.7,,,,,,,,,19.4939,96.4,4.7946,6.8,,,,,,,,,4.8454,45.1
Bridgestone Anchor RS9s,Zwift 32mm Carbon,Road,"200,000",10,183,75,300,24.6498,9.1,24.6894,14.9,24.7078,17.6,24.7835,28.7,24.7961,30.5,24.7942,30.2,9.3066,40.9,9.3070,41.1,9.4279,88.4,9.4548,98.9,9.4570,99.8,9.4578,100.1
Canyon Aeroad 2015,Zwift 32mm Carbon,Road,"532,500",23,183,75,150,19.2825,56.3,,,,,,,,,19.4743,92.7,4.8013,11.9,,,,,,,,,4.8513,49.5
Cannondale CAAD12,Zwift 32mm Carbon,Road,"106,300",6,183,75,300,24.6339,6.8,24.7349,21.6,24.7456,23.1,24.8232,34.5,24.8240,34.6,24.8202,34.0,9.2011,-0.4,9.2073,2.1,9.2665,25.2,9.2935,35.8,9.2937,35.9,9.2937,35.9
Canyon Aeroad 2021,Zwift 32mm Carbon,Road,"1,029,200",27,183,75,150,19.3014,59.9,,,,,,,,,19.4938,96.4,4.8346,36.9,,,,,,,,,4.8853,75.1
Cannondale CAAD13,Zwift 32mm Carbon,Road,"500,000",14,183,75,300,24.9867,58.4,25.0655,70.0,25.0766,71.6,25.1550,83.1,25.1815,86.9,25.1772,86.3,9.2785,29.9,9.2841,32.1,9.3413,54.5,9.3704,65.9,9.3722,66.6,9.3739,67.3
Canyon Aeroad 2024,Zwift 32mm Carbon,Road,"1,100,000",10,183,75,150,19.3175,62.9,,,,,,,,,19.5090,99.2,4.8403,41.2,,,,,,,,,4.8907,79.1
Cannondale EVO,Zwift 32mm Carbon,Road,"714,500",29,183,75,300,24.6515,9.3,24.7273,20.4,24.7382,22.0,24.8142,33.2,24.8403,37.0,24.8383,36.7,9.3132,43.5,9.3176,45.2,9.3764,68.2,9.4080,80.6,9.4065,80.0,9.4075,80.4
Canyon Aeroad CFR Alpecin Premier-Tech,Zwift 32mm Carbon,Road,,,183,75,150,19.2940,62.6,,-3600.0,,-3600.0,,-3600.0,,-3600.0,,-3600.0,4.8404,41.3,,-3600.0,,-3600.0,,-3600.0,,-3600.0,,-3600.0
Cannondale Super Six Evo,Zwift 32mm Carbon,Road,"768,200",29,183,75,300,24.8980,45.4,24.9761,56.9,24.9853,58.2,25.0655,70.0,25.0883,73.3,25.0898,73.5,9.3102,42.3,9.3148,44.1,9.3542,59.5,9.3816,70.3,9.3835,71.0,9.4049,79.4
Canyon Grail,Zwift Gravel,Gravel,"750,000",26,183,75,150,17.8032,-224.2,,,,,,,,,17.9888,-189.0,4.5998,-139.7,,,,,,,,,4.6476,-103.7
Cannondale SuperSix Evo LAB71,Zwift 32mm Carbon,Road,"1,750,000",40,183,75,300,25.0071,61.4,25.0865,73.0,25.0947,74.2,25.1739,85.8,25.1991,89.5,25.1984,89.4,9.3387,53.5,9.3438,55.5,9.3843,71.3,9.4116,82.0,9.4137,82.8,9.4342,90.8
Cannondale SuperSix EVO LAB71 Team,Zwift 32mm Carbon,Road,"1,750,000",40,183,75,300,25.0012,62.6,25.0800,74.1,25.0869,75.1,25.1655,86.7,25.1945,90.9,25.1951,91.0,9.3426,55.4,9.3488,57.8,9.3891,73.6,9.4178,84.8,9.4185,85.1,9.4398,93.4
Canyon Inflite,Zwift Gravel,Gravel,"200,000",8,183,75,150,17.7327,-237.6,,,,,,,,,17.9179,-202.5,4.5511,-176.3,,,,,,,,,4.5980,-141.1
Cannondale Synapse,Zwift 32mm Carbon,Road,"270,100",12,183,75,300,24.6440,8.2,24.7439,22.9,24.7549,24.5,24.8327,35.9,24.8313,35.7,24.8304,35.5,9.2646,24.5,9.2707,26.9,9.3295,49.9,9.3575,60.8,9.3579,61.0,9.3586,61.3
Canyon Lux,Zwift Mountain,MTB,"275,000",11,183,75,150,17.1106,-355.5,,,,,,,,,17.2853,-322.4,4.2671,-390.0,,,,,,,,,4.3365,-337.8
Cannondale System Six,Zwift 32mm Carbon,Road,"725,100",20,183,75,300,25.0046,61.0,25.0842,72.7,25.0957,74.4,25.1756,86.1,25.2011,89.8,25.1993,89.5,9.2365,13.5,9.2400,14.9,9.3002,38.4,9.3268,48.8,9.3277,49.2,9.3290,49.7
Canyon Speedmax,Zwift 32mm Carbon,TT,"424,600",31,183,75,150,19.7610,21.0,,,,,,,,,20.0856,75.6,4.6994,17.9,,,,,,,,,4.7324,43.3
Canyon Aeroad 2015,Zwift 32mm Carbon,Road,"532,500",23,183,75,300,24.9774,57.1,25.0574,68.8,25.0709,70.7,25.1505,82.4,25.1740,85.8,25.1716,85.5,9.2460,17.2,9.2490,18.4,9.3082,41.5,9.3369,52.8,9.3378,53.1,9.3386,53.4
Canyon Speedmax CF SLX Disc,Zwift 32mm Carbon,TT,"1,200,000",31,183,75,150,19.8743,41.8,,,,,,,,,20.2020,96.9,4.7016,19.6,,,,,,,,,4.7358,45.9
Canyon Aeroad 2021,Zwift 32mm Carbon,Road,"1,029,200",27,183,75,300,25.0003,60.4,25.0790,71.9,25.0876,73.2,25.1674,84.9,25.1920,88.5,25.1935,88.7,9.3044,40.1,9.3088,41.8,9.3469,56.7,9.3772,68.5,9.3782,68.9,9.3981,76.7
Canyon Speedmax CFR,Zwift 32mm Carbon,TT,,,183,75,150,19.9036,47.1,,,,,,,,,,,4.7179,32.1,,,,,,,,,,
Canyon Aeroad 2024,Zwift 32mm Carbon,Road,"1,100,000",10,183,75,300,25.0181,63.0,25.0992,74.9,25.1082,76.2,25.1874,87.8,25.2125,91.5,25.2126,91.5,9.3141,43.9,9.3189,45.7,9.3595,61.6,9.3860,72.0,9.3903,73.7,9.4099,81.3
Canyon Aeroad CFR Alpecin Premier-Tech,Zwift 32mm Carbon,Road,"1,750,000",30,183,75,300,25.0061,63.3,25.0830,74.6,25.0911,75.8,25.1721,87.6,25.2029,92.1,25.2050,92.4,9.3125,43.6,9.3151,44.6,9.3563,60.7,9.3844,71.7,9.3867,72.6,9.4057,80.1
Canyon Ultimate,Zwift 32mm Carbon,Road,"322,500",12,183,75,150,19.0383,10.0,,,,,,,,,19.2227,45.0,4.8386,39.9,,,,,,,,,4.8897,78.4
Canyon Ultimate,Zwift 32mm Carbon,Road,"322,500",12,183,75,300,24.6493,9.0,24.7245,20.0,24.7360,21.7,24.8123,32.9,24.8383,36.7,24.8358,36.3,9.2986,37.8,9.3039,39.9,9.3627,62.9,9.3907,73.8,9.3924,74.5,9.3918,74.3
Canyon Ultimate CFR,Zwift 32mm Carbon,Road,"350,700",12,183,75,150,19.0414,10.6,,,,,,,,,19.2257,45.5,4.8471,46.3,,,,,,,,,4.8987,85.2
Canyon Ultimate CFR,Zwift 32mm Carbon,Road,"350,700",12,183,75,300,24.6510,9.3,24.7279,20.5,24.7350,21.6,24.8110,32.7,24.8365,36.4,24.8383,36.7,9.3151,44.2,9.3187,45.7,9.3556,60.1,9.3867,72.3,9.3878,72.7,9.4067,80.1
Cervelo Aspero,Zwift Gravel,Gravel,"800,000",32,183,75,150,17.8536,-214.6,,,,,,,,,18.0402,-179.3,4.5764,-157.3,,,,,,,,,4.6237,-121.7
Cervelo R5,Zwift 32mm Carbon,Road,"633,600",28,183,75,300,24.6529,9.5,24.7244,20.0,24.7350,21.6,24.8124,32.9,24.8369,36.5,24.8354,36.3,9.2941,36.0,9.2988,37.9,9.3594,61.6,9.3858,71.9,9.3885,73.0,9.3874,72.5
Cervelo P5,Zwift 32mm Carbon,TT,"920,700",34,183,75,150,19.8101,30.0,,,,,,,,,20.1352,84.7,4.7122,27.7,,,,,,,,,4.7455,53.4
Cervelo S3D,Zwift 32mm Carbon,Road,"415,300",15,183,75,300,24.9448,52.3,25.0242,63.9,25.0361,65.7,25.1146,77.1,25.1424,81.2,25.1404,80.9,9.2144,4.9,9.2164,5.6,9.2784,29.9,9.3041,39.9,9.3057,40.6,9.3065,40.9
Cervelo S5,Zwift 32mm Carbon,Road,"1,800,000",40,183,75,300,25.0073,63.5,25.0849,74.8,25.0926,76.0,25.1728,87.7,25.2025,92.1,25.2058,92.6,9.3028,39.8,9.3073,41.6,9.3465,56.9,9.3757,68.3,9.3765,68.6,9.3958,76.2
Cervelo PX-Series,Zwift 32mm Carbon,TT,"1,000,000",34,183,75,150,19.8510,37.5,,,,,,,,,20.0905,76.5,4.6999,18.2,,,,,,,,,4.7487,55.8
Cervelo S5 2015,Zwift 32mm Carbon,Road,"1,438,400",36,183,75,300,25.0101,61.8,25.0931,74.0,25.1062,75.9,25.1858,87.6,25.2104,91.2,25.2084,90.9,9.2807,30.8,9.2848,32.4,9.3461,56.4,9.3740,67.3,9.3732,67.0,9.3734,67.1
Cervelo R5,Zwift 32mm Carbon,Road,"633,600",28,183,75,150,19.0375,9.8,,,,,,,,,19.2230,45.0,4.8359,37.9,,,,,,,,,4.8876,76.8
Cervelo S5 2020,Zwift 32mm Carbon,Road,"1,481,000",36,183,75,300,25.0138,62.4,25.0934,74.0,25.1034,75.5,25.1835,87.2,25.2076,90.8,25.2092,91.0,9.2822,31.4,9.2858,32.8,9.3259,48.5,9.3536,59.3,9.3548,59.8,9.3766,68.3
Cervelo S3D,Zwift 32mm Carbon,Road,"415,300",15,183,75,150,19.2539,50.9,,,,,,,,,19.4472,87.5,4.7829,-2.0,,,,,,,,,4.8338,36.3
Chapter2 Koko,Zwift 32mm Carbon,Road,"505,500",21,183,75,300,24.7066,17.4,24.7832,28.6,24.7909,29.8,24.8694,41.2,24.8929,44.7,24.8918,44.5,9.2845,32.3,9.2915,35.0,9.3296,49.9,9.3583,61.1,9.3593,61.5,9.3796,69.5
Cervelo S5,Zwift 32mm Carbon,Road,,,183,75,150,19.2956,62.9,,-3600.0,,-3600.0,,-3600.0,,-3600.0,,-3600.0,4.8332,35.9,,-3600.0,,-3600.0,,-3600.0,,-3600.0,,-3600.0
Chapter2 Rere,Zwift 32mm Carbon,Road,"326,400",13,183,75,300,24.6868,14.5,24.7632,25.7,24.7733,27.2,24.8514,38.6,24.8756,42.2,24.8740,41.9,9.2227,8.1,9.2293,10.7,9.2863,33.0,9.3140,43.8,9.3152,44.3,9.3142,43.9
Cervelo S5 2015,Zwift 32mm Carbon,Road,"1,438,400",36,183,75,150,19.3095,61.4,,,,,,,,,19.5034,98.2,4.8213,26.9,,,,,,,,,4.8716,64.8
Chapter2 Tere,Zwift 32mm Carbon,Road,"199,400",6,183,75,300,24.6490,9.0,24.7481,23.5,24.7609,25.4,24.8379,36.6,24.8369,36.5,24.8353,36.3,9.2941,36.0,9.2999,38.3,9.3591,61.5,9.3868,72.3,9.3870,72.4,9.3871,72.4
Cervelo S5 2020,Zwift 32mm Carbon,Road,"1,481,000",36,183,75,150,19.3101,61.5,,,,,,,,,19.5038,98.3,4.8216,27.2,,,,,,,,,4.8724,65.4
Chapter2 Toa,Zwift 32mm Carbon,Road,"800,000",33,183,75,300,24.9937,59.4,25.0718,70.9,25.0828,72.5,25.1614,84.0,25.1873,87.8,25.1854,87.5,9.3009,38.7,9.3037,39.8,9.3647,63.7,9.3928,74.6,9.3936,75.0,9.3941,75.2
Chapter2 Koko,Zwift 32mm Carbon,Road,"505,500",21,183,75,150,19.0821,18.3,,,,,,,,,19.2682,53.6,4.8299,33.4,,,,,,,,,4.8804,71.4
Colnago V3RS,Zwift 32mm Carbon,Road,"800,000",38,183,75,300,24.6450,8.4,24.7196,19.3,24.7279,20.5,24.8053,31.9,24.8278,35.2,24.8304,35.5,9.2657,24.9,9.2685,26.0,9.3077,41.4,9.3352,52.1,9.3366,52.7,9.3582,61.1
Chapter2 Rere,Zwift 32mm Carbon,Road,"326,400",13,183,75,150,19.0619,14.5,,,,,,,,,19.2489,49.9,4.7937,6.2,,,,,,,,,4.8449,44.7
Cube Litening,Zwift 32mm Carbon,Road,"536,500",24,183,75,300,24.6482,8.9,24.7233,19.9,24.7343,21.5,24.8110,32.7,24.8362,36.4,24.8346,36.1,9.2911,34.9,9.2935,35.8,9.3527,59.0,9.3804,69.8,9.3804,69.8,9.3815,70.2
Chapter2 Tere,Zwift 32mm Carbon,Road,"199,400",6,183,75,150,19.0377,9.9,,,,,,,,,19.2230,45.0,4.8355,37.6,,,,,,,,,4.8873,76.6
Cube Litening C:68X,Zwift 32mm Carbon,Road,"604,200",24,183,75,300,24.6504,9.2,24.7267,20.4,24.7343,21.5,24.8111,32.7,24.8363,36.4,24.8376,36.6,9.3113,42.8,9.3157,44.5,9.3552,59.9,9.3832,70.9,9.3848,71.5,9.4064,80.0
Chapter2 Toa,Zwift 32mm Carbon,Road,"800,000",33,183,75,150,19.2947,58.6,,,,,,,,,19.4881,95.3,4.8322,35.1,,,,,,,,,4.8838,73.9
Factor One,Zwift 32mm Carbon,Road,"600,000",19,183,75,300,24.9397,51.5,25.0177,63.0,25.0274,64.4,25.1069,76.0,25.1312,79.6,25.1330,79.8,9.2309,11.3,9.2340,12.5,9.2727,27.7,9.3011,38.8,9.3027,39.4,9.3225,47.1
Colnago V3RS,Zwift 32mm Carbon,Road,"800,000",38,183,75,150,19.0323,8.9,,,,,,,,,19.2186,44.2,4.8193,25.4,,,,,,,,,4.8702,63.7
Felt AR,Zwift 32mm Carbon,Road,"714,100",23,183,75,300,25.0155,62.6,25.0954,74.3,25.1079,76.2,25.1862,87.6,25.2129,91.5,25.2108,91.2,9.2958,36.7,9.2983,37.7,9.3586,61.3,9.3863,72.1,9.3869,72.3,9.3882,72.8
Cube Aerium,Zwift 32mm Carbon,TT,"251,700",10,183,75,150,19.7624,21.3,,,,,,,,,20.0858,75.6,4.7009,19.0,,,,,,,,,4.7344,44.8
Felt FR,Zwift 32mm Carbon,Road,"562,700",16,183,75,300,24.7719,27.0,24.8485,38.2,24.8551,39.2,24.9347,50.8,24.9594,54.4,24.9609,54.6,9.3035,39.7,9.3066,40.9,9.3489,57.5,9.3748,67.6,9.3772,68.5,9.3955,75.7
Cube Litening,Zwift 32mm Carbon,Road,"536,500",24,183,75,150,19.0368,9.7,,,,,,,,,19.2220,44.8,4.8335,36.1,,,,,,,,,4.8846,74.6
Focus Izalco Max,Zwift 32mm Carbon,Road,"712,900",22,183,75,300,24.9709,56.1,25.0514,67.9,25.0643,69.8,25.1445,81.5,25.1676,84.9,25.1661,84.7,9.2798,30.4,9.2853,32.6,9.3426,55.0,9.3717,66.4,9.3728,66.8,9.3739,67.3
Cube Litening C:68X,Zwift 32mm Carbon,Road,"604,200",24,183,75,150,19.0395,10.2,,,,,,,,,19.2258,45.5,4.8458,45.4,,,,,,,,,4.8972,84.0
Giant Propel Advanced SL Disc,Zwift 32mm Carbon,Road,"1,102,900",35,183,75,300,24.9731,56.4,25.0527,68.1,25.0615,69.4,25.1423,81.2,25.1660,84.7,25.1673,84.9,9.2675,25.6,9.2712,27.1,9.3115,42.8,9.3385,53.4,9.3400,54.0,9.3613,62.3
Giant Propel Advanced SL Team,Zwift 32mm Carbon,Road,"1,700,000",40,183,75,300,24.9951,61.7,25.0728,73.1,25.0783,73.9,25.1567,85.4,25.1887,90.1,25.1881,90.0,9.3124,43.5,9.3235,47.9,9.3650,64.1,9.3926,74.9,9.3933,75.2,9.4127,82.8
DiamondBack Andean,Zwift 32mm Carbon,TT,"950,000",39,183,75,150,19.7642,21.6,,,,,,,,,20.0877,76.0,4.7061,23.0,,,,,,,,,4.7398,49.0
Giant TCR Advanced SL 2021,Zwift 32mm Carbon,Road,"566,100",27,183,75,300,24.6466,8.6,24.7222,19.7,24.7325,21.2,24.8101,32.6,24.8366,36.4,24.8330,35.9,9.2817,31.2,9.2853,32.6,9.3442,55.6,9.3726,66.7,9.3737,67.2,9.3722,66.6
Giant TCR Advanced SL 2025,Zwift 32mm Carbon,Road,"1,100,000",25,183,75,300,25.0056,61.2,25.0832,72.5,25.0924,73.9,25.1706,85.3,25.1963,89.1,25.1994,89.6,9.3193,45.9,9.3236,47.6,9.3637,63.3,9.3904,73.7,9.3919,74.3,9.4122,82.2
Factor One,Zwift 32mm Carbon,Road,"600,000",19,183,75,150,19.2511,50.3,,,,,,,,,19.4444,87.0,4.7924,5.2,,,,,,,,,4.8431,43.3
Giant TCR BikeExchange-Jayco Team,Zwift 32mm Carbon,Road,"543,100",27,183,75,300,24.7644,25.9,24.8412,37.1,24.8484,38.2,24.9265,49.6,24.9518,53.3,24.9530,53.5,9.2456,17.1,9.2484,18.2,9.2884,33.8,9.3152,44.3,9.3170,45.0,9.3370,52.8
Felt AR,Zwift 32mm Carbon,Road,"714,100",23,183,75,150,19.3121,61.9,,,,,,,,,19.5057,98.6,4.8288,32.6,,,,,,,,,4.8792,70.5
Liv Langma Advanced SL 2021,Zwift 32mm Carbon,Road,"511,300",24,183,75,300,24.6469,8.7,24.6970,16.0,24.7021,16.7,24.7788,28.0,24.7792,28.0,24.9289,50.0,9.2795,30.3,9.2835,31.9,9.3031,39.6,9.3328,51.2,9.3389,53.6,9.3485,57.3
Liv Langma Advanced SL 2025,Zwift 32mm Carbon,Road,"1,000,000",8,183,75,300,24.9982,60.1,25.0770,71.6,25.0851,72.8,25.1633,84.3,25.1897,88.1,25.1923,88.5,9.3095,42.1,9.3143,43.9,9.3533,59.2,9.3819,70.4,9.3847,71.5,9.4034,78.8
Felt FR,Zwift 32mm Carbon,Road,"562,700",16,183,75,150,19.1307,27.5,,,,,,,,,19.3178,63.0,4.8385,39.9,,,,,,,,,4.8902,78.8
Liv Langma SL Advanced Disc,Zwift 32mm Carbon,Road,"613,200",24,183,75,300,24.7683,26.4,24.8469,38.0,24.8576,39.5,24.9355,50.9,24.9605,54.6,24.9592,54.4,9.2888,34.0,9.2933,35.7,9.3527,59.0,9.3824,70.6,9.3822,70.5,9.3820,70.4
Felt IA,Zwift 32mm Carbon,TT,"515,100",16,183,75,150,19.8510,37.5,,,,,,,,,20.1763,92.2,4.7003,18.6,,,,,,,,,4.7337,44.3
Moots Vamoots RCS,Zwift 32mm Carbon,Road,"275,000",8,183,75,300,24.6308,6.3,24.7067,17.4,24.7149,18.6,24.7944,30.3,24.8171,33.6,24.8188,33.8,9.1895,-4.9,9.1942,-3.1,9.2318,11.7,9.2606,22.9,9.2608,23.0,9.2814,31.1
Felt IA 2.0,Zwift 32mm Carbon,TT,"750,000",16,183,75,150,19.8569,38.6,,,,,,,,,20.1811,93.1,4.7140,29.1,,,,,,,,,4.7487,55.8
Focus Izalco Max,Zwift 32mm Carbon,Road,"712,900",22,183,75,150,19.2804,55.9,,,,,,,,,19.4710,92.0,4.8214,27.0,,,,,,,,,4.8718,64.9
Giant Propel Advanced SL Disc,Zwift 32mm Carbon,Road,"1,102,900",35,183,75,150,19.2790,55.6,,,,,,,,,19.4706,92.0,4.8135,21.1,,,,,,,,,4.8643,59.3
Giant Propel Advanced SL Team,Zwift 32mm Carbon,Road,,,183,75,150,19.2885,61.6,,-3600.0,,-3600.0,,-3600.0,,-3600.0,,-3600.0,4.8396,40.7,,-3600.0,,-3600.0,,-3600.0,,-3600.0,,-3600.0
Giant Revolt Advanced Pro,Zwift Gravel,Gravel,"475,000",23,183,75,150,17.7847,-227.7,,,,,,,,,17.9719,-192.2,4.5694,-162.6,,,,,,,,,4.6169,-126.8
Giant TCR Advanced SL 2021,Zwift 32mm Carbon,Road,"566,100",27,183,75,150,19.0351,9.4,,,,,,,,,19.2206,44.6,4.8280,32.0,,,,,,,,,4.8783,69.8
Giant TCR Advanced SL 2025,Zwift 32mm Carbon,Road,,,183,75,150,19.2846,60.9,,-3600.0,,-3600.0,,-3600.0,,-3600.0,,-3600.0,4.8426,43.0,,-3600.0,,-3600.0,,-3600.0,,-3600.0,,-3600.0
Giant TCR BikeExchange-Jayco Team,Zwift 32mm Carbon,Road,"543,100",27,183,75,150,19.1199,25.5,,,,,,,,,19.3081,61.2,4.8060,15.4,,,,,,,,,4.8553,52.5
Lauf True Grit,Zwift Gravel,Gravel,"125,000",5,183,75,150,17.6736,-248.8,,,,,,,,,17.8581,-213.8,4.5071,-209.4,,,,,,,,,4.5537,-174.4
Liv Devote Advanced Pro,Zwift Gravel,Gravel,"450,000",17,183,75,150,17.7843,-227.8,,,,,,,,,17.9719,-192.2,4.5704,-161.8,,,,,,,,,4.6171,-126.7
Liv Langma Advanced SL 2021,Zwift 32mm Carbon,Road,"511,300",24,183,75,150,19.0352,9.4,,,,,,,,,19.2930,58.3,4.8276,31.7,,,,,,,,,4.8630,58.3
Liv Langma SL Advanced Disc,Zwift 32mm Carbon,Road,"613,200",24,183,75,150,19.1293,27.2,,,,,,,,,19.3153,62.5,4.8306,33.9,,,,,,,,,4.8814,72.1
Moots Vamoots RCS,Zwift 32mm Carbon,Road,"275,000",8,183,75,150,19.0196,6.4,,,,,,,,,19.2046,41.5,4.7759,-7.2,,,,,,,,,4.8267,31.0
Mosaic RT-1d,Zwift 32mm Carbon,Road,"250,000",11,183,75,150,19.0185,6.2,,,,,,,,,19.2048,41.6,4.7766,-6.7,,,,,,,,,4.8267,31.0
Parlee ESX,Zwift 32mm Carbon,Road,"153,200",5,183,75,150,19.1199,25.5,,,,,,,,,19.3076,61.1,4.8031,13.2,,,,,,,,,4.8536,51.2
