folder,our_frame,make,zi_test_bike,type,match_score,wheel,power_W,zi_mass_kg_s0,game_mass_kg_s0,mass_diff_kg_s0,zi_cda_m2_s0,game_cda_m2_s0,cda_diff_m2_s0,zi_mass_kg_s1,game_mass_kg_s1,mass_diff_kg_s1,zi_cda_m2_s1,game_cda_m2_s1,cda_diff_m2_s1,zi_mass_kg_s2,game_mass_kg_s2,mass_diff_kg_s2,zi_cda_m2_s2,game_cda_m2_s2,cda_diff_m2_s2,zi_mass_kg_s3,game_mass_kg_s3,mass_diff_kg_s3,zi_cda_m2_s3,game_cda_m2_s3,cda_diff_m2_s3,zi_mass_kg_s4,game_mass_kg_s4,mass_diff_kg_s4,zi_cda_m2_s4,game_cda_m2_s4,cda_diff_m2_s4,zi_mass_kg_s5,game_mass_kg_s5,mass_diff_kg_s5,zi_cda_m2_s5,game_cda_m2_s5,cda_diff_m2_s5
CannondaleSuperSixEvo2026,Cannondale CannondaleSuperSixEvo2026,Cannondale,Cannondale SuperSix EVO LAB71 Team,STANDARD,0.57,Zwift 32mm Carbon,300.0,81.215,81.2,0.015,0.30042,0.29997,-0.00045,81.191,81.2,-0.009,0.29748,0.29713,-0.00035,80.794,80.802,-0.009,0.29742,0.29713,-0.0003,80.548,80.557,-0.009,0.29464,0.29444,-0.0002,80.555,80.557,-0.001,0.29357,0.29341,-0.00017,80.346,80.348,-0.001,0.29366,0.29341,-0.00025
CannondaleEvo,Cannondale EVO,Cannondale,Cannondale EVO,STANDARD,1.0,Zwift 32mm Carbon,300.0,81.334,81.31,0.024,0.31393,0.31379,-0.00014,81.328,81.31,0.018,0.31092,0.31089,-4e-05,80.744,80.726,0.018,0.3108,0.31089,9e-05,80.469,80.451,0.018,0.30797,0.30815,0.00018,80.497,80.451,0.047,0.30694,0.30715,0.00021,80.486,80.451,0.036,0.30702,0.30715,0.00013
CannondaleSuperSixEVOLAB712024,Cannondale Super Six EVO LAB71,Cannondale,Cannondale SuperSix Evo LAB71,STANDARD,1.05,Zwift 32mm Carbon,300.0,81.257,81.25,0.007,0.30017,0.30016,-1e-05,81.244,81.25,-0.006,0.29721,0.2973,9e-05,80.845,80.85,-0.006,0.29711,0.2973,0.00019,80.613,80.619,-0.006,0.2943,0.29458,0.00028,80.605,80.619,-0.014,0.29338,0.2937,0.00031,80.403,80.417,-0.014,0.29351,0.2937,0.00019
CannondaleSuperSixEVO2020,Cannondale Super Six Evo,Cannondale,Cannondale Super Six Evo,STANDARD,0.8,Zwift 32mm Carbon,300.0,81.489,81.49,-0.001,0.3042,0.30413,-8e-05,81.481,81.49,-0.009,0.30123,0.30125,2e-05,81.091,81.099,-0.009,0.30108,0.30125,0.00017,80.857,80.866,-0.009,0.29819,0.29846,0.00027,80.85,80.866,-0.016,0.29734,0.29764,0.0003,80.638,80.655,-0.016,0.29739,0.29764,0.00024
CannondaleSuperXBikeLAB712025,Cannondale Super X Bike LAB71,Cannondale,Cannondale SuperX LAB71,GRAVEL,1.01,Zwift Gravel,300.0,81.902,82.05,-0.148,0.30299,0.30335,0.00037,81.927,82.05,-0.123,0.3,0.30047,0.00047,81.537,81.66,-0.123,0.30003,0.30047,0.00044,81.296,81.42,-0.123,0.29698,0.29752,0.00054,81.286,81.42,-0.133,0.29606,0.29663,0.00057,81.085,81.218,-0.133,0.29612,0.29663,0.00051
Canyon_Aeroad,Canyon Aeroad 2015,Canyon,Canyon Aeroad 2015,STANDARD,1.8,Zwift 32mm Carbon,300.0,82.179,82.19,-0.011,0.30082,0.30074,-8e-05,82.187,82.19,-0.003,0.29781,0.29783,2e-05,81.594,81.597,-0.003,0.29761,0.29783,0.00022,81.344,81.347,-0.003,0.29479,0.29511,0.00032,81.347,81.347,-0.001,0.29393,0.29427,0.00035,81.338,81.347,-0.01,0.29402,0.29427,0.00025
CanyonAeroad2021,Canyon Aeroad Team Edition,Canyon,Canyon Aeroad 2021,STANDARD,1.8,Zwift 32mm Carbon,300.0,81.598,81.6,-0.002,0.30026,0.30026,0.0,81.592,81.6,-0.008,0.29731,0.29741,0.0001,81.214,81.222,-0.008,0.29718,0.29741,0.00023,80.951,80.959,-0.008,0.29437,0.29469,0.00032,80.953,80.959,-0.006,0.29347,0.29382,0.00035,80.756,80.762,-0.006,0.29351,0.29382,0.00031
CanyonAeroadAlpecinPremierTech2026,Canyon AeroadAlpecin2026,Canyon,Canyon Aeroad CFR Alpecin Premier-Tech,STANDARD,0.5,Zwift 32mm Carbon,300.0,81.519,81.5,0.019,0.30008,0.29955,-0.00052,81.531,81.5,0.031,0.29719,0.29677,-0.00043,81.122,81.091,0.031,0.2971,0.29677,-0.00033,80.882,80.851,0.031,0.29423,0.29399,-0.00024,80.874,80.851,0.023,0.29311,0.29291,-0.0002,80.687,80.664,0.023,0.29312,0.29291,-0.00022
CanyonAeroad2024,Canyon AeroadSRAM2024,Canyon,Canyon Aeroad 2024,STANDARD,1.55,Zwift 32mm Carbon,300.0,81.509,81.5,0.009,0.29963,0.29958,-5e-05,81.5,81.5,0.0,0.29661,0.29666,5e-05,81.098,81.098,0.0,0.29648,0.29666,0.00018,80.873,80.873,0.0,0.29367,0.29395,0.00028,80.843,80.873,-0.03,0.29277,0.29308,0.00031,80.649,80.679,-0.03,0.29287,0.29308,0.00021
CanyonGrail2025,Canyon CanyonGrail2025,Canyon,Canyon Grail SLX,GRAVEL,0.5,Zwift Gravel,300.0,82.083,82.2,-0.117,0.30302,0.30345,0.00043,82.08,82.2,-0.12,0.3001,0.30063,0.00053,81.689,81.81,-0.12,0.30008,0.30063,0.00055,81.441,81.561,-0.12,0.29706,0.29771,0.00065,81.435,81.561,-0.127,0.29618,0.29686,0.00068,81.251,81.378,-0.127,0.29616,0.29686,0.0007
CanyonSpeedmaxCFR2026,Canyon CanyonSpeedmaxCFR2026,Canyon,Canyon Speedmax CFR,TT,0.75,Zwift 32mm Carbon,300.0,83.818,83.85,-0.032,0.26948,0.26923,-0.00025,83.812,83.85,-0.038,0.2675,0.26732,-0.00018,83.613,83.65,-0.038,0.26755,0.26732,-0.00023,83.366,83.403,-0.038,0.26478,0.26464,-0.00014,83.255,83.293,-0.038,0.26486,0.26464,-0.00022,83.249,83.293,-0.044,0.25889,0.25887,-2e-05
CanyonSpeedmaxCRSLXDisc2021,Canyon CanyonSpeedmaxCRSLXDisc2021,Canyon,Canyon Speedmax CF SLX Disc,TT,0.33,Zwift 32mm Carbon,300.0,84.07,84.13,-0.06,0.27011,0.27029,0.00018,84.081,84.13,-0.049,0.26813,0.26838,0.00025,83.872,83.922,-0.049,0.26804,0.26838,0.00034,83.609,83.659,-0.049,0.26528,0.26571,0.00043,83.517,83.567,-0.05,0.2653,0.26571,0.00041,83.504,83.567,-0.063,0.2596,0.2602,0.0006
CanyonUltimate2021,Canyon CanyonUltimate2021,Canyon,Canyon Ultimate CFR,STANDARD,0.5,Zwift 32mm Carbon,300.0,81.314,81.31,0.004,0.31396,0.31379,-0.00017,81.317,81.31,0.007,0.31091,0.31084,-7e-05,80.95,80.943,0.007,0.31082,0.31084,2e-05,80.679,80.671,0.007,0.30798,0.3081,0.00012,80.681,80.671,0.01,0.30699,0.30714,0.00015,80.494,80.484,0.01,0.30702,0.30714,0.00012
CanyonGrailGravel,Canyon Grail,Canyon,Canyon Grail,GRAVEL,0.67,Zwift Gravel,300.0,82.01,82.27,-0.26,0.307,0.30799,0.00099,82.018,82.27,-0.252,0.30476,0.30583,0.00107,81.407,81.659,-0.252,0.30477,0.30583,0.00105,81.174,81.426,-0.252,0.30161,0.30277,0.00116,81.166,81.426,-0.259,0.30058,0.30177,0.00119,81.179,81.426,-0.247,0.30072,0.30177,0.00106
CanyonInflite2019,Canyon Inflite,Canyon,Canyon Inflite,GRAVEL,0.67,Zwift Gravel,300.0,82.9,83.03,-0.13,0.30953,0.31041,0.00088,82.9,83.03,-0.13,0.30626,0.30725,0.00099,82.299,82.429,-0.13,0.30617,0.30725,0.00108,82.057,82.187,-0.13,0.30286,0.30405,0.00119,82.078,82.187,-0.108,0.30301,0.30405,0.00104,82.052,82.187,-0.135,0.30325,0.30405,0.0008
CanyonLuxMountainBike2019,Canyon Lux,Canyon,Canyon Lux,MOUNTAIN,0.4,Zwift Mountain,300.0,87.609,86.0,1.609,0.31704,0.3179,0.00086,87.611,86.0,1.611,0.31549,0.31639,0.00091,86.407,84.797,1.611,0.31535,0.31639,0.00104,86.173,84.562,1.611,0.31199,0.31315,0.00116,86.165,84.562,1.603,0.31162,0.31279,0.00117,86.181,84.562,1.618,0.31166,0.31279,0.00112
Canyon_Speedmax,Canyon Speedmax Team Edition,Canyon,Canyon Speedmax,TT,1.0,Zwift 32mm Carbon,300.0,84.12,84.17,-0.05,0.27498,0.27513,0.00014,84.105,84.17,-0.065,0.27302,0.27323,0.00021,83.82,83.884,-0.065,0.27289,0.27323,0.00033,83.566,83.631,-0.065,0.27009,0.27051,0.00043,83.575,83.631,-0.055,0.26433,0.26494,0.00062,83.55,83.631,-0.08,0.26443,0.26494,0.00052
Canyon_Ultimate,Canyon Ultimate,Canyon,Canyon Ultimate,STANDARD,1.0,Zwift 32mm Carbon,300.0,81.48,81.46,0.02,0.31394,0.31379,-0.00015,81.465,81.46,0.005,0.31096,0.31091,-5e-05,80.88,80.874,0.005,0.31082,0.31091,0.0001,80.64,80.634,0.005,0.30795,0.30815,0.00019,80.636,80.634,0.002,0.30694,0.30717,0.00023,80.641,80.634,0.006,0.30704,0.30717,0.00013
CerveloAspero2020,Cervelo Aspero,Cervelo,Cervelo Aspero,GRAVEL,0.67,Zwift Gravel,300.0,82.462,82.72,-0.258,0.30315,0.30413,0.00098,82.459,82.72,-0.261,0.30094,0.30199,0.00105,81.832,82.093,-0.261,0.30087,0.30199,0.00112,81.617,81.878,-0.261,0.29791,0.29914,0.00122,81.614,81.878,-0.265,0.29678,0.29804,0.00126,81.626,81.878,-0.253,0.2968,0.29804,0.00124
CerveloAspero2026,Cervelo CerveloAspero2026,Cervelo,Cervelo Aspero 5,GRAVEL,0.5,Zwift Gravel,300.0,82.402,82.5,-0.098,0.30147,0.30239,0.00092,82.351,82.45,-0.098,0.29915,0.30014,0.00099,81.978,82.076,-0.098,0.29914,0.30014,0.001,81.72,81.818,-0.098,0.2961,0.2972,0.00111,81.724,81.818,-0.094,0.29515,0.29629,0.00114,81.532,81.626,-0.094,0.29536,0.29629,0.00093
CerveloS52021,Cervelo CerveloS52021,Cervelo,Cervelo S5 2020,STANDARD,0.08,Zwift 32mm Carbon,300.0,81.829,81.83,-0.001,0.29963,0.29958,-5e-05,81.831,81.83,0.001,0.29665,0.29671,5e-05,81.432,81.431,0.001,0.29649,0.29671,0.00022,81.193,81.192,0.001,0.29365,0.29397,0.00032,81.193,81.192,0.001,0.29277,0.29312,0.00035,80.977,80.976,0.001,0.29282,0.29312,0.0003
CerveloS52026,Cervelo CerveloS52026,Cervelo,Cervelo S5,STANDARD,0.5,Zwift 32mm Carbon,300.0,81.618,81.625,-0.007,0.29998,0.29944,-0.00054,81.61,81.625,-0.015,0.29708,0.29663,-0.00045,81.22,81.235,-0.015,0.29699,0.29663,-0.00036,80.968,80.983,-0.015,0.29416,0.2939,-0.00026,80.975,80.983,-0.009,0.29307,0.29284,-0.00023,80.785,80.794,-0.009,0.29305,0.29284,-0.0002
CerveloP5,Cervelo P5,Cervelo,Cervelo P5,TT,1.3,Zwift 32mm Carbon,300.0,83.861,83.93,-0.069,0.27305,0.27319,0.00014,83.883,83.93,-0.047,0.27102,0.27123,0.00021,83.585,83.632,-0.047,0.27093,0.27123,0.0003,83.319,83.366,-0.047,0.26819,0.26858,0.00039,83.317,83.366,-0.049,0.26243,0.26301,0.00058,83.306,83.366,-0.06,0.26248,0.26301,0.00053
CerveloP5x,Cervelo PX-Series,Cervelo,Cervelo PX-Series,TT,0.5,Zwift 32mm Carbon,300.0,84.128,84.17,-0.042,0.27109,0.27126,0.00017,84.105,84.17,-0.065,0.26813,0.2684,0.00027,83.705,83.77,-0.065,0.268,0.2684,0.0004,83.461,83.525,-0.065,0.26524,0.26573,0.00049,83.454,83.525,-0.072,0.2645,0.26502,0.00052,83.248,83.32,-0.072,0.26444,0.26502,0.00058
CerveloR5,Cervelo R5,Cervelo,Cervelo R5,STANDARD,1.3,Zwift 32mm Carbon,300.0,81.528,81.51,0.018,0.31377,0.31379,2e-05,81.517,81.51,0.007,0.31094,0.31105,0.00011,80.912,80.905,0.007,0.31084,0.31105,0.00022,80.688,80.682,0.007,0.30792,0.30824,0.00031,80.674,80.682,-0.007,0.30698,0.30732,0.00034,80.684,80.682,0.003,0.30703,0.30732,0.00029
CerveloS3D,Cervelo S3D,Cervelo,Cervelo S3D,STANDARD,1.3,Zwift 32mm Carbon,300.0,82.487,82.505,-0.018,0.3019,0.30181,-9e-05,82.504,82.505,-0.001,0.29889,0.2989,1e-05,81.878,81.879,-0.001,0.29877,0.2989,0.00013,81.656,81.657,-0.001,0.29596,0.29618,0.00023,81.654,81.657,-0.004,0.29493,0.29519,0.00026,81.645,81.657,-0.013,0.29501,0.29519,0.00018
CerveloS5,Cervelo S5,Cervelo,Cervelo S5 2015,STANDARD,1.25,Zwift 32mm Carbon,300.0,81.842,81.845,-0.003,0.29976,0.29958,-0.00018,81.841,81.845,-0.004,0.29666,0.29658,-7e-05,81.231,81.235,-0.004,0.29648,0.29658,0.0001,80.992,80.996,-0.004,0.29367,0.29387,0.00019,81.011,80.996,0.016,0.29276,0.29299,0.00022,81.008,80.996,0.013,0.29284,0.29299,0.00015
Chapter2KOKO2022,Chapter2 Chapter2KOKO2022,Chapter2,Chapter2 Koko,STANDARD,1.05,Zwift 32mm Carbon,300.0,81.653,81.63,0.023,0.31157,0.31138,-0.0002,81.621,81.63,-0.009,0.30858,0.30848,-0.0001,81.24,81.249,-0.009,0.30847,0.30848,1e-05,80.992,81.001,-0.009,0.30556,0.30566,0.0001,80.994,81.001,-0.008,0.30465,0.30479,0.00013,80.791,80.798,-0.008,0.3048,0.30479,-1e-05
Chapter2TOA2021,Chapter2 Chapter2TOA2021,Chapter2,Chapter2 Toa,STANDARD,1.05,Zwift 32mm Carbon,300.0,81.63,81.63,0.0,0.30049,0.30055,6e-05,81.64,81.63,0.01,0.29755,0.29771,0.00016,81.034,81.024,0.01,0.29745,0.29771,0.00026,80.793,80.783,0.01,0.29467,0.29502,0.00035,80.798,80.783,0.014,0.29372,0.2941,0.00039,80.792,80.783,0.009,0.29379,0.2941,0.00031
Chapter2Rere2019,Chapter2 Rere,Chapter2,Chapter2 Rere,STANDARD,1.05,Zwift 32mm Carbon,300.0,82.274,82.26,0.014,0.31203,0.31186,-0.00017,82.244,82.26,-0.016,0.30903,0.30896,-7e-05,81.668,81.684,-0.015,0.30894,0.30896,2e-05,81.428,81.443,-0.015,0.30603,0.30615,0.00012,81.428,81.443,-0.015,0.30509,0.30525,0.00015,81.437,81.443,-0.006,0.30515,0.30525,0.0001
Chapter2Tere2019,Chapter2 Tere,Chapter2,Chapter2 Tere,STANDARD,1.05,Zwift 32mm Carbon,300.0,81.526,81.51,0.016,0.31393,0.31379,-0.00014,81.518,81.51,0.008,0.31001,0.31,-1e-05,80.928,80.921,0.008,0.30981,0.31,0.00019,80.692,80.684,0.008,0.30693,0.30722,0.00028,80.689,80.684,0.005,0.30697,0.30722,0.00024,80.687,80.684,0.003,0.30703,0.30722,0.00018
ColnagoV3RS2020,Colnago Colnago V3RS,Colnago,Colnago V3RS,STANDARD,1.1,Zwift 32mm Carbon,300.0,81.812,81.95,-0.138,0.31394,0.31379,-0.00015,81.822,81.95,-0.128,0.31097,0.31092,-5e-05,81.429,81.556,-0.128,0.31085,0.31092,8e-05,81.191,81.319,-0.128,0.30794,0.30811,0.00017,81.188,81.319,-0.131,0.30707,0.30727,0.0002,80.973,81.104,-0.131,0.30708,0.30727,0.00019
CubeAerium2019,Cube Aerium,Cube,Cube Aerium,TT,0.67,Zwift 32mm Carbon,300.0,84.093,84.13,-0.037,0.27499,0.27513,0.00014,84.078,84.13,-0.052,0.27301,0.27322,0.00021,83.87,83.921,-0.052,0.27292,0.27322,0.0003,83.633,83.684,-0.052,0.27016,0.27055,0.00039,83.517,83.569,-0.052,0.27017,0.27055,0.00038,83.512,83.569,-0.057,0.26444,0.26501,0.00057
CubeLitening2018,Cube Cube Litening,Cube,Cube Litening,STANDARD,0.67,Zwift 32mm Carbon,300.0,81.556,82.31,-0.754,0.31394,0.31379,-0.00015,81.57,82.31,-0.74,0.31096,0.3109,-5e-05,80.979,81.719,-0.74,0.31083,0.3109,7e-05,80.742,81.481,-0.74,0.30795,0.30812,0.00017,80.754,81.481,-0.727,0.30696,0.30716,0.0002,80.743,81.481,-0.739,0.30703,0.30716,0.00013
CubeLitening2021,Cube CubeLitening2021,Cube,Cube Litening C:68X,STANDARD,0.33,Zwift 32mm Carbon,300.0,81.352,81.33,0.022,0.31396,0.31379,-0.00017,81.347,81.33,0.017,0.31094,0.31087,-7e-05,80.954,80.937,0.017,0.31084,0.31087,2e-05,80.714,80.697,0.017,0.30796,0.30808,0.00012,80.711,80.697,0.014,0.30698,0.30714,0.00015,80.497,80.483,0.014,0.30704,0.30714,9e-05
DiamondBack_Andean,DiamondBack Andean,DiamondBack,DiamondBack Andean,TT,1.0,Zwift 32mm Carbon,300.0,83.976,84.03,-0.054,0.27498,0.27513,0.00015,83.965,84.03,-0.065,0.273,0.27321,0.00021,83.784,83.85,-0.065,0.2729,0.27321,0.00031,83.541,83.606,-0.065,0.27011,0.27051,0.0004,83.448,83.514,-0.065,0.27015,0.27051,0.00035,83.417,83.514,-0.097,0.26443,0.26498,0.00055
FactorOne2020,Factor One,Factor,Factor One,STANDARD,0.67,Zwift 32mm Carbon,300.0,82.315,82.47,-0.155,0.30218,0.3021,-9e-05,82.321,82.47,-0.149,0.29923,0.29924,1e-05,81.932,82.081,-0.149,0.29907,0.29924,0.00018,81.683,81.832,-0.149,0.29623,0.2965,0.00027,81.679,81.832,-0.153,0.29533,0.29563,0.0003,81.48,81.634,-0.153,0.29537,0.29563,0.00027
FeltAR2018,Felt AR,Felt,Felt AR,STANDARD,0.67,Zwift 32mm Carbon,300.0,81.692,81.845,-0.153,0.29963,0.29958,-5e-05,81.706,81.845,-0.139,0.29664,0.29669,5e-05,81.107,81.246,-0.139,0.29648,0.29669,0.00021,80.87,81.009,-0.139,0.29372,0.29402,0.0003,80.877,81.009,-0.132,0.29274,0.29307,0.00033,80.863,81.009,-0.146,0.29282,0.29307,0.00025
FeltTT2021,Felt Felt TT 2021,Felt,Felt IA 2.0,TT,0.17,Zwift 32mm Carbon,300.0,83.842,83.9,-0.058,0.27115,0.27126,0.00011,83.846,83.9,-0.054,0.26911,0.26928,0.00017,83.651,83.705,-0.054,0.269,0.26928,0.00028,83.391,83.445,-0.054,0.26625,0.26662,0.00038,83.294,83.348,-0.054,0.26632,0.26662,0.0003,83.269,83.348,-0.079,0.2605,0.261,0.00049
FeltFR2022,Felt FeltFR2022,Felt,Felt FR,STANDARD,0.67,Zwift 32mm Carbon,300.0,81.493,81.48,0.013,0.30908,0.30896,-0.00013,81.501,81.48,0.021,0.3061,0.30607,-3e-05,81.079,81.058,0.021,0.30607,0.30607,1e-05,80.86,80.839,0.021,0.30312,0.30323,0.00011,80.849,80.839,0.009,0.30219,0.30233,0.00014,80.667,80.658,0.009,0.30222,0.30233,0.0001
FeltIA2019,Felt IA,Felt,Felt IA,TT,0.67,Zwift 32mm Carbon,300.0,84.112,84.17,-0.058,0.27111,0.27126,0.00015,84.101,84.17,-0.069,0.26913,0.26935,0.00022,83.905,83.973,-0.069,0.26902,0.26935,0.00033,83.67,83.738,-0.069,0.26627,0.26669,0.00042,83.562,83.631,-0.069,0.26629,0.26669,0.0004,83.537,83.631,-0.093,0.26051,0.2611,0.00059
FocusIzalcoMax2020,Focus Izalco Max 2020,Focus,Focus Izalco Max,STANDARD,0.75,Zwift 32mm Carbon,300.0,81.832,81.97,-0.138,0.30125,0.30113,-0.00012,81.816,81.97,-0.154,0.29823,0.29821,-2e-05,81.246,81.4,-0.154,0.29803,0.29821,0.00017,80.994,81.149,-0.154,0.29519,0.29546,0.00027,80.995,81.149,-0.154,0.29434,0.29464,0.0003,80.983,81.149,-0.166,0.2944,0.29464,0.00024
GiantPropelAdvancedSL2026,Giant GiantPropelAdvancedSL2026,Giant,Giant Propel Advanced SL Team,STANDARD,0.8,Zwift 32mm Carbon,300.0,81.515,81.5,0.015,0.30049,0.29973,-0.00077,81.441,81.426,0.015,0.29762,0.29695,-0.00067,81.029,81.014,0.015,0.29762,0.29695,-0.00068,80.793,80.778,0.015,0.29484,0.29426,-0.00058,80.802,80.778,0.024,0.29366,0.29312,-0.00054,80.61,80.586,0.024,0.29378,0.29312,-0.00066
GiantRevolt2022,Giant GiantRevolt2022,Giant,Giant Revolt Advanced Pro,GRAVEL,0.5,Zwift Gravel,300.0,82.562,82.685,-0.123,0.30719,0.30799,0.0008,82.563,82.685,-0.122,0.30484,0.30572,0.00088,81.952,82.074,-0.122,0.3048,0.30572,0.00091,81.718,81.84,-0.122,0.30172,0.30274,0.00102,81.703,81.84,-0.137,0.3007,0.30175,0.00105,81.716,81.84,-0.124,0.3009,0.30175,0.00084
GiantTCRAdvancedSL2021,Giant GiantTCRAdvancedSL,Giant,Giant TCR BikeExchange-Jayco Team,STANDARD,0.29,Zwift 32mm Carbon,300.0,82.078,82.08,-0.002,0.30907,0.30896,-0.00011,82.088,82.08,0.008,0.30608,0.30606,-1e-05,81.685,81.677,0.008,0.30601,0.30606,5e-05,81.453,81.445,0.008,0.30313,0.30328,0.00015,81.447,81.445,0.002,0.30217,0.30235,0.00018,81.247,81.245,0.002,0.30223,0.30235,0.00012
GiantTCRAdvancedSL2023,Giant GiantTCRAdvancedSL2023,Giant,Giant TCR Advanced SL 2025,STANDARD,1.17,Zwift 32mm Carbon,300.0,81.451,81.45,0.001,0.30013,0.30016,3e-05,81.445,81.45,-0.005,0.29723,0.29736,0.00013,81.049,81.053,-0.005,0.29709,0.29736,0.00027,80.821,80.826,-0.005,0.29432,0.29468,0.00036,80.819,80.826,-0.007,0.29338,0.29377,0.00039,80.62,80.627,-0.007,0.29336,0.29377,0.00041
