"","","","","","","","Flat Test Results","","Climb Test Results","","","","","","","","","","","","","","","","",""
"Zwift Carbon","Zipp 858","600,000","31","183","75","300","24.8581","39.6","9.2067","1.8","","","","","","","","","","","","","","","",""
"Zwift Carbon","Zipp 404","425,000","19","183","75","300","24.7940","30.2","9.2054","1.3","","","","","","","","","","","","","","","",""
"Zwift Carbon","Zwift Supersonic","","","183","75","300","24.6123","3.6","9.2028","0.3","","","","","","","","","","","","","","","",""
"Zwift Carbon","Zwift Baseline","0","0","183","75","300","24.5853","-0.4","9.2023","0.1","","","","","","","","","","","","","","","",""
"Zwift Carbon","DT Swiss ARC 1100 DICUT 62","500,000","40","183","75","300","24.8557","39.2","9.2020","0.0","","","","","","","","","","","","","","","",""
"Zwift Carbon","Zwift 32mm Carbon","100,000","3","183","75","300","24.5877","0.0","9.2020","0.0","","","","","","","","","","","","","","","",""
"Zwift Carbon","ENVE SES 7.8","550,000","36","183","75","300","24.8955","45.1","9.2002","-0.7","","","","","","","","","","","","","","","",""
"Zwift Carbon","Shimano C50","250,000","10","183","75","300","24.7166","18.9","9.1968","-2.0","","","","","","","","","","","","","","","",""
"Zwift Carbon","Zwift 50mm Carbon","125,000","9","183","75","300","24.6657","11.4","9.1964","-2.2","","","","","","","","","","","","","","","",""
"Zwift Carbon","Zipp 808","425,000","25","183","75","300","24.8326","35.9","9.1963","-2.2","","","","","","","","","","","","","","","",""
"Zwift Carbon","Bontrager Aeolus5","150,000","11","183","75","300","24.7058","17.3","9.1941","-3.1","","","","","","","","","","","","","","","",""
"Zwift Carbon","HED Vanquish RC6 Pro","175,000","17","183","75","300","24.6849","14.2","9.1941","-3.1","","","","","","","","","","","","","","","",""
"Zwift Carbon","Mavic Comete Pro Carbon SL UST","200,000","13","183","75","300","24.7522","24.1","9.1929","-3.6","","","","","","","","","","","","","","","",""
"Zwift Carbon","Shimano C60","325,000","12","183","75","300","24.7609","25.4","9.1908","-4.4","","","","","","","","","","","","","","","",""
"Zwift Carbon","Novatec R4","150,000","8","183","75","300","24.6051","2.5","9.1891","-5.0","","","","","","","","","","","","","","","",""
"Zwift Carbon","Zwift Plain","","","183","75","300","24.7498","23.7","9.1887","-5.2","","","","","","","","","","","","","","","",""
"Zwift Carbon","FFWD RYOT55","200,000","18","183","75","300","24.7459","23.2","9.1830","-7.4","","","","","","","","","","","","","","","",""
"Zwift Carbon","ENVE SES 8.9","550,000","28","183","75","300","24.9067","46.7","9.1801","-8.6","","","","","","","","","","","","","","","",""
"Zwift Carbon","Mavic Cosmic CXR60c","150,000","7","183","75","300","24.7255","20.2","9.1728","-11.4","","","","","","","","","","","","","","","",""
"Zwift Carbon","Zwift Classic","0","1","183","75","300","24.5456","-6.2","9.1728","-11.4","","","","","","","","","","","","","","","",""
"Zwift Carbon","Zipp 858/Super9","750,000","37","183","75","300","24.9191","48.5","9.1525","-19.4","","","","","","","","","","","","","","","",""
"Zwift Carbon","DT Swiss ARC 1100 DICUT 85/Disc","1,000,000","40","183","75","300","24.9292","50.0","9.1510","-20.0","","","","","","","","","","","","","","","",""
"Zwift Carbon","Swiss Side HADRON Ultimate 850/Disc","900,000","39","183","75","300","24.9292","50.0","9.1510","-20.0","","","","","","","","","","","","","","","",""
"Zwift Carbon","Zwift Buffalo Fahrrad","0","40","183","75","300","24.5411","-6.8","9.1493","-20.6","","","","","","","","","","","","","","","",""
"Zwift Carbon","Zwift Atomic Cruiser 2024","","","183","75","300","24.5776","-1.5","9.1492","-20.7","","","","","","","","","","","","","","","",""
"Zwift Carbon","Zipp 808/Super9","650,000","34","183","75","300","24.8926","44.6","9.1468","-21.6","","","","","","","","","","","","","","","",""
"Zwift Carbon","Princeton Carbonworks Mach TSV2/Blur Disc","1,100,100","42","183","75","300","24.8974","47.4","9.1413","-23.4","","","","","","","","","","","","","","","",""
"Zwift Carbon","DT Swiss ARC 1100 DICUT DISC ","750,000","39","183","75","300","24.9166","48.2","9.1413","-23.7","","","","","","","","","","","","","","","",""
"Zwift Carbon","Zwift Tri Spoke // Disc","0","0","183","75","300","24.7839","28.7","9.1403","-24.1","","","","","","","","","","","","","","","",""
"Zwift Carbon","Zwift Groovy Time Trial","0","0","183","75","300","24.8211","34.2","9.1376","-25.2","","","","","","","","","","","","","","","",""
"Zwift Carbon","Zwift Pride On","0","0","183","75","300","24.8211","34.2","9.1376","-25.2","","","","","","","","","","","","","","","",""
"Zwift Carbon","Zwift Safety","0","44","183","75","300","24.5747","-1.9","9.1208","-31.8","","","","","","","","","","","","","","","",""
"Zwift Carbon","Princeton Carbonworks Wake 6560 Lava","0","","183","75","300","24.8764","","9.2335","","","","","","","","","","","","","","","","",""
